day,LAD22CD,activity_count
2021-10-5,E09000027,2211
2021-10-5,E09000028,2531
2021-10-5,E09000029,2618
2021-10-5,E09000030,2099
2021-10-5,E09000031,1919
2021-10-5,E09000032,2720
2021-10-5,E09000033,4514
2021-10-6,E09000001,1367
2021-10-6,E09000002,2120
2021-10-6,E09000003,3863
2021-10-6,E09000004,3650
2021-10-6,E09000005,2375
2021-10-6,E09000006,5015
2021-10-6,E09000007,2842
2021-10-6,E09000008,3872
2021-10-6,E09000009,2598
2021-10-6,E09000010,2532
2021-10-6,E09000011,2964
2021-10-6,E09000012,1234
2021-10-6,E09000013,1748
2021-10-6,E09000014,1546
2021-10-6,E09000015,2183
2021-10-6,E09000016,4176
2021-10-6,E09000017,3890
2021-10-6,E09000018,2601
2021-10-6,E09000019,1414
2021-10-6,E09000020,1520
2021-10-6,E09000021,2047
2021-10-6,E09000022,2054
2021-10-6,E09000023,1966
2021-10-6,E09000024,2025
2021-10-6,E09000025,2583
2021-10-6,E09000026,2695
2021-10-6,E09000027,2185
2021-10-6,E09000028,2485
2021-10-6,E09000029,2660
2021-10-6,E09000030,1866
2021-10-6,E09000031,1843
2021-10-6,E09000032,2529
2021-10-6,E09000033,4577
2021-10-7,E09000001,1691
2021-10-7,E09000002,2242
2021-10-7,E09000003,3894
2021-10-7,E09000004,3826
